,Bearish,Neutral,Bullish,Total/Compound,Mentions
SSRM,0.000,1.000,0.000,0.000,1
OPP,0.000,1.000,0.000,0.000,1
MIST,0.000,0.837,0.163,0.624,1
AVEO,0.000,1.000,0.000,0.000,1
SFIX,0.000,0.690,0.310,0.202,1
FOSL,0.000,1.000,0.000,0.000,1
WW,0.104,0.861,0.035,-0.648,1
TEDU,0.000,1.000,0.000,0.000,1
SWCH,0.000,0.615,0.385,0.970,1
SUMO,0.000,1.000,0.000,0.000,1
ASX,0.000,0.707,0.293,0.440,1
PERI,0.000,0.707,0.293,0.440,1
FSD,0.035,0.876,0.090,0.773,1
CB,0.045,0.875,0.080,0.333,1
CC,0.045,0.875,0.080,0.333,1
CVS,0.000,0.812,0.188,0.625,1
VRM,0.080,0.770,0.150,0.960,1
CVNA,0.080,0.770,0.150,0.960,1
ICE,0.106,0.741,0.153,0.749,1
ULTA,0.091,0.773,0.136,0.848,1
DK,0.000,0.846,0.154,0.797,1
CVE,0.037,0.912,0.051,0.153,1
RTX,0.000,0.711,0.289,0.904,1
CD,0.063,0.798,0.139,0.925,1
ATVI,0.138,0.787,0.075,-0.939,1
ACTC,0.196,0.678,0.126,-0.331,1
BYD,0.055,0.855,0.090,0.430,1
NAV,0.079,0.806,0.115,0.701,1
TTWO,0.042,0.726,0.232,0.873,1
DDD,0.000,0.602,0.398,0.765,1
MAIN,0.074,0.855,0.071,0.338,1
CRSP,0.116,0.801,0.083,-0.967,1
HNW,0.067,0.806,0.127,0.901,1
GSAH,0.000,0.885,0.115,0.572,1
CCAC,0.000,0.885,0.115,0.572,1
BIDU,0.144,0.788,0.068,-0.979,1
VUZI,0.000,0.713,0.287,0.639,1
ETH,0.015,0.829,0.156,0.902,1
LUV,0.250,0.500,0.250,0.000,1
CVX,0.186,0.628,0.186,-0.264,1
WFC,0.067,0.831,0.102,0.469,1
STT,0.075,0.759,0.166,0.852,1
GEO,0.052,0.699,0.249,0.985,1
BAF,0.114,0.801,0.085,-0.871,1
ATCO,0.058,0.738,0.204,0.940,1
DAC,0.121,0.788,0.091,-0.849,1
MCD,0.038,0.825,0.136,0.989,1
SHOP,0.157,0.565,0.278,0.681,1
TM,0.092,0.758,0.149,0.552,1
MTCH,0.169,0.831,0.000,-0.837,1
MELI,0.169,0.831,0.000,-0.837,1
CCJ,0.000,0.909,0.091,0.440,1
UUUU,0.055,0.610,0.335,0.935,1
SNOW,0.000,0.674,0.326,0.700,1
UNH,0.066,0.895,0.039,-0.153,1
REV,0.082,0.798,0.119,0.699,1
SPWR,0.000,1.000,0.000,0.000,1
MAXN,0.080,0.655,0.265,0.911,1
